wavelength0,Abs0,wavelength1,Abs1,wavelength2,Abs2
253,0.169756785,253,0.724014044,253,0.686376989
252,0.169765547,252,0.723592281,252,0.68503803
251,0.170857132,251,0.722952664,251,0.68343699
250,0.171578199,250,0.721140266,250,0.682963252
249,0.171036482,249,0.72209847,249,0.685011149
248,0.171605557,248,0.722072721,248,0.682167947
247,0.171780795,247,0.720466197,247,0.680442512
246,0.171978876,246,0.71799016,246,0.679409981
245,0.17263478,245,0.717788756,245,0.677214801
244,0.172531247,244,0.716428518,244,0.678563654
243,0.172764108,243,0.714913428,243,0.675870478
242,0.173612699,242,0.712086141,242,0.674245715
241,0.174394012,241,0.710215628,241,0.672832072
240,0.175753728,240,0.705362558,240,0.670143127
239,0.178414449,239,0.700207472,239,0.664253354
238,0.182174549,238,0.695608378,238,0.659739256
237,0.187583312,237,0.689735353,237,0.653762996
236,0.195477516,236,0.679657638,236,0.644619882
235,0.204513386,235,0.671756625,235,0.634756863
234,0.212840393,234,0.66394937,234,0.629033923
233,0.219924837,233,0.660542786,233,0.625199974
232,0.227273658,232,0.656660795,232,0.620060921
231,0.235485137,231,0.651552141,231,0.6141783
230,0.242984131,230,0.646036148,230,0.611153483
229,0.249473557,229,0.640606523,229,0.606939197
228,0.256862223,228,0.636879325,228,0.601784945
